Arrêt Code Long;Arrêt;Commune;Pays;CodeDidoc;Coordonnées;Actif
-CHVST;Chevrier Stationnement;CHOULEX;CH;;46.220238, 6.226213;N
_BADNS;Bardonnex Douane - CH;BARDONNEX;CH;;46.142113, 6.097073;N
_CANDF;Bois Candide-Dne - F;FERNEY-VOLTAIRE;FR;;46.24374, 6.092361;Y
_CANDS;Bois Candide-Dne - CH;MEYRIN;CH;;46.243839, 6.092346;Y
_CERNS;CERN-Dne - CH;MEYRIN;CH;;46.234905, 6.050015;Y
_CHGIF;Chavannes-de-Bogis Douane dir. F;DIVONNE-LES-BAINS;FR;;46.345238, 6.154396;N
_CYDNS;Chancy-Dne_CH;CHANCY;CH;;46.144279, 5.964719;Y
_DOACH;Veigy-Dne - CH;ANIÈRES;CH;;46.266506, 6.247455;Y
_DOSOF;Soral-Dne - F;VIRY;FR;;46.136147, 6.035913;Y
_GSDNS;Grand-Saconnex-Dne - CH;LE GRAND-SACONNEX;CH;;46.248718, 6.120574;Y
_LADNF;Landecy-Dne - F;ARCHAMPS;FR;;46.141945, 6.132473;Y
_MOILF;Moillesulaz - F;GAILLARD;FR;;46.192303, 6.206844;Y
_MOILS;Moillesulaz - CH;THÔNEX;CH;;46.192303, 6.206948;Y
_PART;Terminus partiel;PUPLINGE;CH;;46.213306, 6.234388;N
_PEDOF;Perly-Dne - F;SAINT-JULIEN-EN-GENEVOIS;FR;;46.15131, 6.08962;Y
2MON01;Deux Montagnes;VILLE-LA-GRAND;FR;8595775;46.207649, 6.281073;N
31DC01;31 Décembre;GENÈVE;CH;8592773;46.201778, 6.162252;Y
AAIN00;Avenue de l'Ain;VERNIER;CH;8593138;46.205944, 6.109895;Y
AAIN01;Avenue de l'Ain;VERNIER;CH;8593138;46.206238, 6.110056;Y
ABBA01;Presinge, L'Abbaye;PRESINGE;CH;8592965;46.221935, 6.251527;Y
ABMA01;Ambilly Mairie;AMBILLY;FR;;46.195572, 6.223361;N
ACAC00;Acacias;GENÈVE;CH;8592774;46.192608, 6.138086;Y
ACAC01;Acacias;GENÈVE;CH;8592774;46.192749, 6.138511;Y
ACCM01;Archamps-Communauté-Communes;ARCHAMPS;FR;1401703;46.137932, 6.117454;N
ADLI00;Adrien Ligué;ANNEMASSE;FR;8595735;46.193325, 6.232809;N
ADLI01;Adrien Ligué;ANNEMASSE;FR;8595735;46.194099, 6.233103;N
ADOU01;Prévessin-Ancienne-Douane;PRÉVESSIN-MOËNS;FR;1401776;46.247414, 6.079873;Y
AE4701;Aéroport-P47;LE GRAND-SACONNEX;CH;8596098;46.24065, 6.121561;Y
AEDR01;Aérodrome;ANNEMASSE;FR;8595736;46.196938, 6.262903;N
AERO01;Genève-Aéroport-Terminal;LE GRAND-SACONNEX;CH;8592775;46.230961, 6.110231;Y
AERO02;Genève-Aéroport-Terminal;LE GRAND-SACONNEX;CH;8592775;46.230396, 6.109455;Y
AERO04;Genève-Aéroport-Terminal;LE GRAND-SACONNEX;CH;8592775;46.231079, 6.110345;N
AERO07;Genève-Aéroport-Terminal;LE GRAND-SACONNEX;CH;8592775;46.230343, 6.109365;Y
AERO09;Genève-Aéroport-Terminal;LE GRAND-SACONNEX;CH;8592775;46.230095, 6.10906;Y
AERO96;Genève-Aéroport-Terminal;LE GRAND-SACONNEX;CH;8592775;46.230938, 6.110074;N
AERO97;Genève-Aéroport-Terminal;LE GRAND-SACONNEX;CH;8592775;46.231026, 6.109193;N
AEROST;Aéroport Stationnement;LE GRAND-SACONNEX;CH;8592775;46.230373, 6.109453;Y
AGLA00;Prévessin-Les Aglands;PRÉVESSIN-MOËNS;FR;1401780;46.254463, 6.067934;Y
AGLA03;Prévessin-Les Aglands;PRÉVESSIN-MOËNS;FR;1401780;46.254848, 6.067327;N
AHEN00;Albert Hénon;VILLE-LA-GRAND;FR;8595737;46.203674, 6.239888;N
AIRE00;Aïre;VERNIER;CH;8593137;46.201393, 6.104383;Y
AIVT01;Aire-la-Ville-Treulaz;AIRE-LA-VILLE;CH;8592620;46.185955, 6.045369;N
AJUR01;Ferney, centre;FERNEY-VOLTAIRE;FR;1401732;46.257999, 6.113553;Y
AJUR03;Ferney-Avenue du Jura;FERNEY-VOLTAIRE;FR;1401732;46.257736, 6.111769;N
AJUR05;Ferney-Avenue du Jura;FERNEY-VOLTAIRE;FR;1401732;46.257931, 6.113621;N
ALBA00;Avully-Bachères;AVULLY;CH;8595953;46.164593, 5.992242;Y
ALCH01;Adrien-Lachenal;VERSOIX;CH;8593181;46.283787, 6.163105;N
ALCM00;Allondon Camping;DARDAGNY;CH;;46.219395, 6.001043;N
ALEC01;Avully-Ecole;AVULLY;CH;8592627;46.167168, 6.005124;Y
ALOB01;Allobroges;VILLE-LA-GRAND;FR;8595738;46.199978, 6.245787;N
ALPR00;Altéa-P+R;CRANVES-SALES;FR;8505934;46.206268, 6.287698;N
ALPR01;Altéa-P+R;CRANVES-SALES;FR;8505934;46.206356, 6.287261;N
ALPR02;Altéa-P+R;CRANVES-SALES;FR;8505934;46.206524, 6.287794;N
ALTE00;Altéa;VILLE-LA-GRAND;FR;8595739;46.206177, 6.283113;N
ALVI01;Avully-Village;AVULLY;CH;8587031;46.169529, 6.001099;Y
AMAR01;Ami-Argand;VERSOIX;CH;8593182;46.286003, 6.160705;N
AMDO02;Amandolier;GENÈVE;CH;8592778;46.199654, 6.167381;Y
ANCI00;Ancienne;CAROUGE;CH;8592668;46.181393, 6.140866;Y
ANEX00;Annexion;ANNEMASSE;FR;8595742;46.186184, 6.238395;N
ANGA00;Annemasse Gare;ANNEMASSE;FR;1401854;46.198757, 6.236926;N
ANGA02;Annemasse Gare OT;ANNEMASSE;FR;1401854;46.198963, 6.237556;N
ANGA03;Annemasse Gare;ANNEMASSE;FR;1401854;46.198799, 6.236588;N
ANGA06;Annemasse Gare;ANNEMASSE;FR;1401854;46.19812, 6.235757;N
ANGA10;Annemasse Gare (Nord);ANNEMASSE;FR;1401854;;N
ANGL01;Anglettere;GENÈVE;CH;;46.209534, 6.150679;N
ANGN00;Annemasse-Gare Rotonde;ANNEMASSE;FR;1401675;46.200794, 6.235209;N
ANGN01;Annemasse-Gare Rotonde;ANNEMASSE;FR;1401675;46.200649, 6.235316;N
ANGR00;Anières-Gravière;ANIÈRES;CH;8592625;46.288685, 6.236912;Y
ANGR01;Anières-Gravière;ANIÈRES;CH;8592625;46.288994, 6.237061;Y
ANGS00;Gare-Annemasse;ANNEMASSE;FR;1401854;46.198868, 6.236949;N
ANGS02;Gare-Annemasse;ANNEMASSE;FR;1401854;46.19883, 6.237637;N
ANGS04;Gare-Annemasse;ANNEMASSE;FR;1401854;46.198822, 6.236949;N
